2020-09-11,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Newton-Indiana	153	11	NA
Noble-Indiana	854	33	NA
Ohio-Indiana	75	7	NA
Orange-Indiana	265	26	NA
Owen-Indiana	158	2	NA
Parke-Indiana	93	2	NA
Perry-Indiana	209	15	NA
Pike-Indiana	118	1	NA
Porter-Indiana	1897	45	NA
Posey-Indiana	265	0	NA
Pulaski-Indiana	108	1	NA
Putnam-Indiana	482	8	NA
Randolph-Indiana	229	7	NA
Ripley-Indiana	262	8	NA
Rush-Indiana	187	4	NA
St Joseph-Indiana	5619	102	NA
Scott-Indiana	341	12	NA
Shelby-Indiana	1109	37	NA
Spencer-Indiana	181	3	NA
Starke-Indiana	223	8	NA
Steuben-Indiana	326	7	NA
Sullivan-Indiana	320	11	NA
Switzerland-Indiana	67	0	NA
Tippecanoe-Indiana	1905	14	NA
Tipton-Indiana	216	25	NA
Union-Indiana	95	0	NA
Vanderburgh-Indiana	2935	23	NA
Vermillion-Indiana	117	0	NA
Vigo-Indiana	1630	20	NA
Wabash-Indiana	241	7	NA
Warren-Indiana	39	1	NA
Warrick-Indiana	924	33	NA
Washington-Indiana	244	1	NA
Wayne-Indiana	1035	13	NA
Wells-Indiana	246	2	NA
White-Indiana	465	13	NA
Whitley-Indiana	237	6	NA
Adair-Iowa	55	1	NA
Adams-Iowa	24	0	NA
Allamakee-Iowa	211	5	NA
Appanoose-Iowa	106	3	NA
Audubon-Iowa	42	1	NA
Benton-Iowa	234	1	NA
Black Hawk-Iowa	4118	81	NA
Boone-Iowa	399	5	NA
Bremer-Iowa	415	7	NA
Buchanan-Iowa	202	1	NA
