2020-09-10,15:59:01
LOCATION	CASES	DEATHS	RECOVERED
Dubuque-Iowa	2292	37	0
Emmet-Iowa	232	9	0
Fayette-Iowa	164	1	0
Floyd-Iowa	252	3	0
Franklin-Iowa	316	17	0
Fremont-Iowa	63	0	0
Greene-Iowa	69	0	0
Grundy-Iowa	160	2	0
Guthrie-Iowa	188	5	0
Hamilton-Iowa	304	2	0
Hancock-Iowa	166	2	0
Hardin-Iowa	254	1	0
Harrison-Iowa	158	2	0
Henry-Iowa	451	4	0
Howard-Iowa	162	3	0
Humboldt-Iowa	160	2	0
Ida-Iowa	60	0	0
Iowa-Iowa	149	1	0
Jackson-Iowa	254	2	0
Jasper-Iowa	659	31	0
Jefferson-Iowa	124	1	0
Johnson-Iowa	4719	26	0
Jones-Iowa	206	3	0
Keokuk-Iowa	78	1	0
Kossuth-Iowa	149	0	0
Lee-Iowa	531	6	0
Linn-Iowa	3396	100	0
Louisa-Iowa	402	14	0
Lucas-Iowa	115	6	0
